 54101 function calls (53641 primitive calls) in 0.364 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(argsort)
       20    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(atleast_2d)
      116    0.000    0.000    0.110    0.001 <__array_function__ internals>:2(concatenate)
       20    0.000    0.000    0.030    0.001 <__array_function__ internals>:2(vstack)
      320    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
        1    0.011    0.011    0.364    0.364 <string>:1(<module>)
        1    0.033    0.033    0.353    0.353 Task_1.py:4(data_collecter)
       40    0.000    0.000    0.000    0.000 _asarray.py:110(asanyarray)
      206    0.000    0.000    0.000    0.000 _asarray.py:23(asarray)
       20    0.000    0.000    0.000    0.000 _asarray.py:293(require)
       20    0.000    0.000    0.000    0.000 _asarray.py:382(<setcomp>)
       22    0.000    0.000    0.000    0.000 _collections_abc.py:409(__subclasshook__)
       56    0.000    0.000    0.000    0.000 _dtype.py:178(_datetime_metadata_str)
      458    0.000    0.000    0.000    0.000 _dtype.py:24(_kind_name)
      458    0.000    0.000    0.002    0.000 _dtype.py:307(_name_includes_bit_suffix)
      458    0.001    0.000    0.004    0.000 _dtype.py:321(_name_get)
       68    0.000    0.000    0.001    0.000 _dtype.py:34(__str__)
      181    0.000    0.000    0.001    0.000 _methods.py:53(_any)
       98    0.000    0.000    0.001    0.000 _methods.py:59(_all)
       42    0.000    0.000    0.000    0.000 _mixins.py:103(shape)
       42    0.000    0.000    0.000    0.000 _mixins.py:110(ndim)
       14    0.000    0.000    0.010    0.001 _mixins.py:173(_concat_same_type)
       14    0.000    0.000    0.001    0.000 _mixins.py:180(<setcomp>)
       14    0.000    0.000    0.000    0.000 _mixins.py:184(<listcomp>)
     22/1    0.000    0.000    0.000    0.000 abc.py:100(__subclasscheck__)
       17    0.000    0.000    0.000    0.000 abc.py:96(__instancecheck__)
       88    0.001    0.000    0.002    0.000 algorithms.py:1534(_get_take_nd_function)
       88    0.001    0.000    0.073    0.001 algorithms.py:1661(take_nd)
       17    0.000    0.000    0.002    0.000 api.py:109(_get_combined_index)
       14    0.000    0.000    0.002    0.000 api.py:161(union_indexes)
       28    0.000    0.000    0.001    0.000 api.py:221(<genexpr>)
       14    0.000    0.000    0.000    0.000 api.py:232(_sanitize_and_check)
       14    0.000    0.000    0.000    0.000 api.py:253(<setcomp>)
       17    0.000    0.000    0.002    0.000 api.py:65(get_objs_combined_axis)
       17    0.000    0.000    0.000    0.000 api.py:91(<listcomp>)
       17    0.000    0.000    0.000    0.000 api.py:95(_get_distinct_objs)
       76    0.000    0.000    0.000    0.000 base.py:1232(name)
       17    0.000    0.000    0.000    0.000 base.py:1239(name)
       17    0.000    0.000    0.000    0.000 base.py:1250(_validate_names)
       62    0.000    0.000    0.000    0.000 base.py:1281(_get_names)
     1011    0.001    0.000    0.004    0.000 base.py:254(is_dtype)
      107    0.000    0.000    0.000    0.000 base.py:4070(_values)
      751    0.001    0.000    0.001    0.000 base.py:411(find)
       17    0.000    0.000    0.000    0.000 base.py:425(_simple_new)
       45    0.000    0.000    0.003    0.000 base.py:4393(equals)
       17    0.000    0.000    0.000    0.000 base.py:510(_shallow_copy)
       45    0.000    0.000    0.000    0.000 base.py:532(is_)
       34    0.000    0.000    0.000    0.000 base.py:563(_reset_identity)
       76    0.000    0.000    0.000    0.000 base.py:5836(ensure_index)
       17    0.000    0.000    0.001    0.000 base.py:5947(default_index)
       34    0.000    0.000    0.000    0.000 base.py:5953(maybe_extract_name)
      192    0.000    0.000    0.000    0.000 base.py:600(__len__)
       14    0.000    0.000    0.000    0.000 base.py:6174(get_unanimous_names)
       14    0.000    0.000    0.000    0.000 base.py:6187(<listcomp>)
       14    0.000    0.000    0.000    0.000 base.py:6188(<listcomp>)
       28    0.000    0.000    0.000    0.000 base.py:6189(<genexpr>)
       17    0.000    0.000    0.001    0.000 base.py:826(copy)
      112    0.001    0.000    0.001    0.000 blocks.py:127(__init__)
       65    0.000    0.000    0.000    0.000 blocks.py:147(_maybe_coerce_values)
      112    0.000    0.000    0.000    0.000 blocks.py:161(_check_ndim)
      152    0.000    0.000    0.002    0.000 blocks.py:202(_consolidate_key)
       28    0.000    0.000    0.000    0.000 blocks.py:2226(_can_hold_na)
       17    0.000    0.000    0.000    0.000 blocks.py:2230(_maybe_coerce_values)
       62    0.000    0.000    0.000    0.000 blocks.py:245(get_values)
       30    0.000    0.000    0.000    0.000 blocks.py:2505(_maybe_coerce_values)
       26    0.000    0.000    0.000    0.000 blocks.py:2510(is_bool)
       62    0.000    0.000    0.000    0.000 blocks.py:261(fill_value)
      772    0.000    0.000    0.000    0.000 blocks.py:265(mgr_locs)
      104    0.001    0.000    0.004    0.000 blocks.py:2662(get_block_type)
      112    0.000    0.000    0.001    0.000 blocks.py:269(mgr_locs)
      104    0.001    0.000    0.007    0.000 blocks.py:2711(make_block)
       56    0.000    0.000    0.000    0.000 blocks.py:2738(extend_blocks)
        8    0.000    0.000    0.000    0.000 blocks.py:288(make_block_same_class)
       48    0.000    0.000    0.000    0.000 blocks.py:308(__len__)
      168    0.000    0.000    0.000    0.000 blocks.py:343(shape)
      392    0.000    0.000    0.000    0.000 blocks.py:347(dtype)
       88    0.001    0.000    0.002    0.000 cast.py:542(maybe_promote)
       88    0.000    0.000    0.001    0.000 cast.py:698(_ensure_dtype_type)
       96    0.000    0.000    0.000    0.000 common.py:1234(is_numeric_dtype)
       42    0.000    0.000    0.000    0.000 common.py:1276(is_string_like_dtype)
       42    0.000    0.000    0.000    0.000 common.py:1304(<lambda>)
      124    0.000    0.000    0.001    0.000 common.py:1307(is_float_dtype)
       28    0.000    0.000    0.000    0.000 common.py:1341(is_bool_dtype)
      751    0.001    0.000    0.002    0.000 common.py:1470(is_extension_array_dtype)
      157    0.000    0.000    0.003    0.000 common.py:1551(_is_dtype)
       17    0.000    0.000    0.000    0.000 common.py:156(not_none)
